Bird_Species,Timestamp,Start_Offset,Confidence,Temperature,Filename,Battery_Voltage
Northern Cardinal,2026-01-07 16:06:00-05:00,0.0,0.7189035415649414,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,3.0,0.9436460733413696,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,6.0,0.9677249789237976,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,12.0,0.9553274512290956,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,15.0,0.9260638952255248,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,18.0,0.6727290153503418,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Northern Cardinal,2026-01-07 16:06:00-05:00,36.0,0.7074715495109558,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Airplane,2026-01-07 16:06:00-05:00,39.0,0.8224507570266724,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Airplane,2026-01-07 16:06:00-05:00,45.0,0.9776155352592468,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Airplane,2026-01-07 16:06:00-05:00,48.0,0.7192705869674683,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210600.WAV,3.5
Downy Woodpecker,2026-01-07 16:43:00-05:00,6.0,0.8380922079086304,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214300.WAV,3.2
Downy Woodpecker,2026-01-07 16:43:00-05:00,21.0,0.9157048463821412,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214300.WAV,3.2
Downy Woodpecker,2026-01-07 16:43:00-05:00,30.0,0.8176674246788025,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214300.WAV,3.2
Airplane,2026-01-08 16:01:00-05:00,0.0,0.9454377293586732,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,3.0,0.9639965295791626,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,6.0,0.8762726187705994,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,9.0,0.9268870949745178,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,15.0,0.9220462441444396,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,18.0,0.8426051139831543,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,21.0,0.7815075516700745,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,24.0,0.8721025586128235,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Airplane,2026-01-08 16:01:00-05:00,27.0,0.8535655736923218,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Dark-eyed Junco,2026-01-08 16:01:00-05:00,30.0,0.6881459951400757,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160100.WAV,3.7
Blue Jay,2026-01-09 07:35:00-05:00,0.0,0.84815514087677,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_073500.WAV,3.2
American Crow,2026-01-07 16:22:00-05:00,0.0,0.8122028112411499,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_212200.WAV,3.4
Fish Crow,2026-01-07 16:22:00-05:00,24.0,0.8088338971138,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_212200.WAV,3.4
Fish Crow,2026-01-07 16:22:00-05:00,42.0,0.7551660537719727,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_212200.WAV,3.4
Carolina Wren,2026-01-07 07:54:00-05:00,0.0,0.995554745197296,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,3.0,0.9654536843299866,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,9.0,0.9663573503494264,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,12.0,0.859693169593811,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,15.0,0.9922183752059937,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Airplane,2026-01-07 07:54:00-05:00,18.0,0.7244510650634766,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,21.0,0.9858127236366272,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,27.0,0.8143011331558228,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,33.0,0.9721590876579284,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,39.0,0.9985364675521852,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
Carolina Wren,2026-01-07 07:54:00-05:00,45.0,0.9827734231948853,36.68,/Users/patrick/Desktop/creation/birds/recordings/20260107_125400.WAV,3.5
White-breasted Nuthatch,2026-01-08 16:25:00-05:00,30.0,0.7446309924125671,59.0,/Users/patrick/Desktop/creation/birds/recordings/20260108_162500.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,3.0,0.6715579032897949,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,18.0,0.8776765465736389,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,30.0,0.9251793026924132,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,33.0,0.9780378341674804,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,42.0,0.7843353748321533,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
Airplane,2026-01-09 08:07:00-05:00,45.0,0.9001287817955017,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
American Crow,2026-01-09 08:07:00-05:00,48.0,0.8026952743530273,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080700.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,0.0,0.92520010471344,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,3.0,0.8468807339668274,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,9.0,0.8144376873970032,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,12.0,0.8673079609870911,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,18.0,0.9679277539253236,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
Downy Woodpecker,2026-01-08 08:29:00-05:00,42.0,0.774150013923645,35.78,/Users/patrick/Desktop/creation/birds/recordings/20260108_132900.WAV,3.2
American Crow,2026-01-08 07:36:00-05:00,9.0,0.8466694355010986,33.8,/Users/patrick/Desktop/creation/birds/recordings/20260108_123600.WAV,3.3
American Crow,2026-01-08 07:36:00-05:00,39.0,0.8667237162590027,33.8,/Users/patrick/Desktop/creation/birds/recordings/20260108_123600.WAV,3.3
American Crow,2026-01-08 07:36:00-05:00,42.0,0.8462625741958618,33.8,/Users/patrick/Desktop/creation/birds/recordings/20260108_123600.WAV,3.3
American Crow,2026-01-08 07:36:00-05:00,51.0,0.8222970366477966,33.8,/Users/patrick/Desktop/creation/birds/recordings/20260108_123600.WAV,3.3
Dark-eyed Junco,2026-01-09 08:05:00-05:00,0.0,0.6684919595718384,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
Dark-eyed Junco,2026-01-09 08:05:00-05:00,6.0,0.8910458087921143,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
American Crow,2026-01-09 08:05:00-05:00,18.0,0.6840497255325317,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
American Crow,2026-01-09 08:05:00-05:00,21.0,0.7017348408699036,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
Dark-eyed Junco,2026-01-09 08:05:00-05:00,42.0,0.9348066449165344,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
American Crow,2026-01-09 08:05:00-05:00,48.0,0.6763894557952881,43.34,/Users/patrick/Desktop/creation/birds/recordings/20260109_080500.WAV,3.2
